job_id,company_name,job_title,salary_raw,disclosure_status,pay_period,rmb_min,rmb_max,salary_months,parse_note
JOB_0071,同花顺,AI开发工程师,40-70K·16薪,numeric_disclosed,month,40000.0,70000.0,16.0,
JOB_0072,同花顺,视频生成算法工程师,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0073,同花顺,高级AI开发/主管,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0074,同花顺,算法工程师（AIME人才计划）,45-75K·15薪,numeric_disclosed,month,45000.0,75000.0,15.0,
JOB_0075,同花顺,AIME人才计划算法（LLM方向）,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0076,同花顺,算法专家（大模型/AIGC等需求方向）,50-80K,numeric_disclosed,month,50000.0,80000.0,,
JOB_0077,同花顺,ACM专项—算法、AI开发、AI工程,26-45K,numeric_disclosed,month,26000.0,45000.0,,
JOB_0078,同花顺,Java技术专家/主管,35-55K·15薪,numeric_disclosed,month,35000.0,55000.0,15.0,
JOB_0079,同花顺,大模型推理内核工程师（GPU算力）,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0080,同花顺,技术专家/架构师,50-80K·16薪,numeric_disclosed,month,50000.0,80000.0,16.0,
JOB_0081,同花顺,视频生成算法,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0082,同花顺,高级推荐算法工程师,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0083,同花顺,推荐算法专家,40-60K·15薪,numeric_disclosed,month,40000.0,60000.0,15.0,
JOB_0084,同花顺,算法博士（算法研究，量化）,35-55K·15薪,numeric_disclosed,month,35000.0,55000.0,15.0,
JOB_0085,同花顺,AI应用工程师,30-45K·15薪,numeric_disclosed,month,30000.0,45000.0,15.0,
JOB_0086,同花顺,AI infra算法工程师,50-80K,numeric_disclosed,month,50000.0,80000.0,,
JOB_0087,同花顺,推荐营销算法,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0088,同花顺,Agent算法工程师,30-60K·14薪,numeric_disclosed,month,30000.0,60000.0,14.0,
JOB_0089,同花顺,资深Java研发工程师/专家/TL,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0090,同花顺,AI Builder（云原生PaaS与C++）,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0091,同花顺,推理引擎开发专家/优化专家（算力方向）,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0092,同花顺,算法专家（AIME人才计划）,50-80K·16薪,numeric_disclosed,month,50000.0,80000.0,16.0,
JOB_0093,同花顺,算法工程师（人才计划 金融Agent）,45-70K·15薪,numeric_disclosed,month,45000.0,70000.0,15.0,
JOB_0094,同花顺,LLM推理引擎研发工程师,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0095,东方财富,算法实习生（大模型/Agent方向）,220-280元/天,numeric_disclosed,day,220.0,280.0,,
JOB_0096,东方财富,算法实习生-大模型/Agent方向,200-250元/天,numeric_disclosed,day,200.0,250.0,,
JOB_0097,东方财富,经营分析岗,12-20K·16薪,numeric_disclosed,month,12000.0,20000.0,16.0,
JOB_0098,东方财富,数据编辑 (MJ001940),8-10K,numeric_disclosed,month,8000.0,10000.0,,
JOB_0099,东方财富,服务端-AI应用开发-南京-27届暑期实习,200-250元/天,numeric_disclosed,day,200.0,250.0,,
JOB_0100,东方财富,数据编辑,3-5K·13薪,numeric_disclosed,month,3000.0,5000.0,13.0,
JOB_0101,东方财富,AI应用工程师（证券）,30-45K·16薪,numeric_disclosed,month,30000.0,45000.0,16.0,
JOB_0102,东方财富,信息安全岗 (MJ002671),18-25K·16薪,numeric_disclosed,month,18000.0,25000.0,16.0,
JOB_0103,东方财富,客户端开发工程师 (MJ002707),25-35K·16薪,numeric_disclosed,month,25000.0,35000.0,16.0,
JOB_0104,东方财富,算法工程师 (MJ002932),25-45K·16薪,numeric_disclosed,month,25000.0,45000.0,16.0,
JOB_0105,东方财富,AI应用工程师 (证券),25-40K·16薪,numeric_disclosed,month,25000.0,40000.0,16.0,
JOB_0106,东方财富,C++服务端开发工程师 (证券),20-35K·16薪,numeric_disclosed,month,20000.0,35000.0,16.0,
JOB_0107,东方财富,java服务端开发工程师,15-25K·16薪,numeric_disclosed,month,15000.0,25000.0,16.0,
JOB_0108,东方财富,C++服务端开发工程师 (证券),20-40K·16薪,numeric_disclosed,month,20000.0,40000.0,16.0,
JOB_0109,东方财富,Java服务端开发工程师 (AI应用方向),25-35K·15薪,numeric_disclosed,month,25000.0,35000.0,15.0,
JOB_0110,东方财富,服务端开发工程师 (Java),18-35K·16薪,numeric_disclosed,month,18000.0,35000.0,16.0,
JOB_0111,东方财富,服务端工程师 (Java),18-30K·16薪,numeric_disclosed,month,18000.0,30000.0,16.0,
JOB_0112,东方财富,服务端开发工程师Java (证券交易),20-35K·16薪,numeric_disclosed,month,20000.0,35000.0,16.0,
JOB_0113,东方财富,JAVA服务端开发工程师 (财务系统-外包),13-18K,numeric_disclosed,month,13000.0,18000.0,,
JOB_0114,东方财富,数据编辑 (MJ001945),7-10K,numeric_disclosed,month,7000.0,10000.0,,
JOB_0115,东方财富,数据编辑专员,3-5K·13薪,numeric_disclosed,month,3000.0,5000.0,13.0,
JOB_0116,东方财富,AI Agent 架构师 (MJ002936),40-60K·16薪,numeric_disclosed,month,40000.0,60000.0,16.0,
JOB_0117,东方财富,资深服务端开发工程师-Java (MJ00...),25-40K·16薪,numeric_disclosed,month,25000.0,40000.0,16.0,
JOB_0118,东方财富,算法工程师 (大模型方向),35-65K·16薪,numeric_disclosed,month,35000.0,65000.0,16.0,
JOB_0119,东方财富,算法工程师（大模型方向）,35-65K·16薪,numeric_disclosed,month,35000.0,65000.0,16.0,
JOB_0120,东方财富,算法工程师（推荐/搜索方向）,25-45K,numeric_disclosed,month,25000.0,45000.0,,
JOB_0121,东方财富,AI应用工程师（证券）(MJ002957),25-40K,numeric_disclosed,month,25000.0,40000.0,,
JOB_0122,东方财富,C++服务端开发工程师（证券交易）,25-40K·16薪,numeric_disclosed,month,25000.0,40000.0,16.0,
JOB_0123,东方财富,Java服务端开发工程师（证券）,25-40K·16薪,numeric_disclosed,month,25000.0,40000.0,16.0,
JOB_0124,金证股份,DevOps工程师,14-16K,numeric_disclosed,month,14000.0,16000.0,,
JOB_0125,金证股份,Python开发,10-14K,numeric_disclosed,month,10000.0,14000.0,,
JOB_0126,金证股份,Java开发工程师（海通证券）,12-20K,numeric_disclosed,month,12000.0,20000.0,,
JOB_0127,金证股份,Java开发工程师,12-18K,numeric_disclosed,month,12000.0,18000.0,,
JOB_0128,金证股份,C++高级开发工程师（平台/AI方向）,20-30K,numeric_disclosed,month,20000.0,30000.0,,
JOB_0129,金证股份,高级Java开发工程师（深圳国泰海通项目）,15-18K,numeric_disclosed,month,15000.0,18000.0,,
JOB_0130,金证股份,Java开发工程师,15-20K,numeric_disclosed,month,15000.0,20000.0,,
JOB_0131,金证股份,C++主管开发工程师,20-30K,numeric_disclosed,month,20000.0,30000.0,,
JOB_0133,金证股份,高级java开发,12-17K,numeric_disclosed,month,12000.0,17000.0,,
JOB_0134,金证股份,C/C++开发工程师,100-150元/天,numeric_disclosed,day,100.0,150.0,,
JOB_0135,金证股份,Java开发工程师（深圳国泰海通）,12-15K,numeric_disclosed,month,12000.0,15000.0,,
JOB_0136,金证股份,C++开发工程师,10-12K,numeric_disclosed,month,10000.0,12000.0,,
JOB_0137,金证股份,Java开发工程师,15-22K,numeric_disclosed,month,15000.0,22000.0,,
JOB_0138,金证股份,Java开发工程师,13-16K,numeric_disclosed,month,13000.0,16000.0,,
JOB_0139,金证股份,Java开发工程师（上海国泰海通项目）,15-18K,numeric_disclosed,month,15000.0,18000.0,,
JOB_0140,金证股份,2026届C++开发实习生,120-140元/天,numeric_disclosed,day,120.0,140.0,,
JOB_0141,金证股份,【2027届】C/C++开发实习生,150-250元/天,numeric_disclosed,day,150.0,250.0,,
JOB_0142,金证股份,JAVA开发工程师,11-20K,numeric_disclosed,month,11000.0,20000.0,,
JOB_0143,新致软件,软件测试工程师（含 4 级功能测试 / 5 级数据测试 / 4-5 级自动化测试方向）,12-14K,numeric_disclosed,month,12000.0,14000.0,,
JOB_0144,新致软件,投资经理（AI+MCN 方向）,7-12K,numeric_disclosed,month,7000.0,12000.0,,
JOB_0145,新致软件,测试工程师,7-8K,numeric_disclosed,month,7000.0,8000.0,,
JOB_0146,新致软件,测试工程师（兴业银行外包）,8-13K,numeric_disclosed,month,8000.0,13000.0,,
