episode,simulated_reward,rolling_mean_reward_200
2327,0.625,0.524375
2328,0.625,0.524375
2329,0.625,0.524375
2330,0.625,0.524375
2331,0.625,0.524375
2332,0.625,0.524375
2333,0.625,0.526875
2334,0.625,0.526875
2335,0.625,0.526875
2336,0.625,0.529375
2337,0.625,0.531875
2338,0.125,0.529375
2339,0.625,0.53125
2340,0.625,0.53125
2341,0.625,0.534375
2342,0.0,0.534375
2343,0.625,0.534375
2344,0.0,0.53125
2345,0.625,0.53125
2346,0.625,0.53375
2347,0.0,0.530625
2348,0.625,0.530625
2349,0.625,0.531875
2350,0.625,0.531875
2351,0.625,0.531875
2352,0.125,0.529375
2353,0.625,0.529375
2354,0.625,0.529375
2355,0.625,0.529375
2356,0.625,0.529375
2357,0.625,0.529375
2358,0.0,0.52625
2359,0.625,0.529375
2360,0.625,0.529375
2361,0.625,0.529375
2362,0.625,0.529375
2363,0.625,0.529375
2364,0.0,0.52625
2365,0.625,0.52625
2366,0.625,0.52625
2367,0.375,0.525
2368,0.25,0.523125
2369,0.625,0.523125
2370,0.0,0.52
2371,0.625,0.52
2372,0.625,0.52
2373,0.625,0.5225
2374,0.625,0.5225
2375,0.625,0.5225
2376,0.625,0.5225
2377,0.625,0.525625
2378,0.625,0.525625
2379,0.625,0.52875
2380,0.625,0.53
2381,0.625,0.53
2382,0.625,0.53
2383,0.625,0.53
2384,0.625,0.53
2385,0.625,0.53
2386,0.625,0.53
2387,0.0,0.526875
2388,0.625,0.5275
2389,0.625,0.5275
2390,0.0,0.524375
2391,0.625,0.524375
2392,0.625,0.5275
2393,0.625,0.5275
2394,0.125,0.525
2395,0.0,0.525
2396,0.625,0.525
2397,0.625,0.528125
2398,0.125,0.525625
2399,0.625,0.525625
2400,0.625,0.525625
2401,0.0,0.525625
2402,0.625,0.525625
2403,0.625,0.5275
2404,0.625,0.5275
2405,0.625,0.5275
2406,0.625,0.5275
2407,0.25,0.525625
2408,0.625,0.525625
2409,0.625,0.525625
2410,0.625,0.525625
2411,0.625,0.525625
2412,0.375,0.524375
2413,0.625,0.524375
2414,0.625,0.524375
2415,0.625,0.524375
2416,0.625,0.526875
2417,0.625,0.526875
2418,0.625,0.526875
2419,0.625,0.526875
2420,0.0,0.52375
2421,0.625,0.52375
2422,0.625,0.52375
2423,0.625,0.52375
2424,0.625,0.52625
2425,0.625,0.52625
